"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","fix"
"1",1,"Jeff Adrien\adrieje01","PF",25,"HOU",8,0,7.9,0.9,2,0.438,0,0,NA,0.9,2,0.438,0.438,0.9,1.5,0.583,0.6,2.1,2.8,0.1,0,0.3,0.3,1.6,2.6,"jeffadrien"
"2",2,"Arron Afflalo\afflaar01","SG",26,"DEN",62,62,33.6,5.3,11.3,0.471,1.4,3.6,0.398,3.9,7.7,0.504,0.534,3.2,4,0.798,0.6,2.5,3.2,2.4,0.6,0.2,1.4,2.2,15.2,"arronafflalo"
"3",3,"Blake Ahearn\ahearbl01","PG",27,"UTA",4,0,7.5,1,3.5,0.286,0.5,2.3,0.222,0.5,1.3,0.4,0.357,0,0,NA,0,0.5,0.5,0.3,0,0,1.3,1,2.5,"blakeahearn"
"4",4,"Solomon Alabi\alabiso01","C",23,"TOR",14,0,8.7,0.9,2.6,0.361,0,0,NA,0.9,2.6,0.361,0.361,0.5,0.6,0.875,1.1,2.3,3.4,0.2,0.1,0.6,0.4,0.8,2.4,"solomonalabi"
"5",5,"Cole Aldrich\aldrico01","C",23,"OKC",26,0,6.7,0.8,1.6,0.524,0,0,NA,0.8,1.6,0.524,0.524,0.5,0.5,0.929,0.5,1.3,1.8,0.1,0.3,0.6,0.3,0.8,2.2,"colealdrich"
"6",6,"LaMarcus Aldridge\aldrila01","PF",26,"POR",55,55,36.3,8.8,17.1,0.512,0,0.2,0.182,8.7,16.9,0.516,0.513,4.1,5,0.814,2.7,5.3,8,2.4,0.9,0.8,2,2.8,21.7,"lamarcusaldridge"
"7",7,"Lavoy Allen\allenla01","PF",22,"PHI",41,15,15.2,1.9,4.1,0.473,0,0,NA,1.9,4.1,0.473,0.473,0.3,0.3,0.786,1.1,3,4.2,0.8,0.3,0.4,0.5,1.8,4.1,"lavoyallen"
"8",8,"Ray Allen\allenra02","SG",36,"BOS",46,42,34,4.9,10.7,0.458,2.3,5.1,0.453,2.6,5.6,0.463,0.566,2.1,2.3,0.915,0.3,2.8,3.1,2.4,1.1,0.2,1.5,1.8,14.2,"rayallen"
"9",9,"Tony Allen\allento01","SG",30,"MEM",58,57,26.3,3.6,7.7,0.469,0.1,0.4,0.308,3.5,7.3,0.479,0.478,2.4,3,0.8,1.7,2.3,4,1.4,1.8,0.6,1.6,2.4,9.8,"tonyallen"
"10",10,"Morris Almond\almonmo01","SG",26,"WAS",4,0,16.8,1.5,4.3,0.353,0.3,0.8,0.333,1.3,3.5,0.357,0.382,0.3,0.8,0.333,0.3,1.8,2,0.5,1.8,0,0.3,1.5,3.5,"morrisalmond"
